,contribution,proportion
History,4460.474999999993,0.2655044642857139
Fantasy,1866.7083333333342,0.11111359126984131
Action/Adventure,1856.0416666666683,0.11047867063492073
Economic,1766.8583333333338,0.10517013888888892
Thriller,1204.4416666666666,0.07169295634920635
Social,1195.9416666666677,0.07118700396825403
Science Fiction,973.6750000000004,0.057956845238095266
Animals,873.3333333333339,0.05198412698412702
Arts,723.6416666666668,0.04307390873015873
Sports,701.6333333333333,0.041763888888888885
Fighting,697.5833333333339,0.041522817460317496
Education,479.6666666666664,0.028551587301587286
